Id,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
124,Maximilian Beier,de GER,"FW,MF",Dortmund,Bundesliga,21.0,2002,29,17,1591,17.7,8,5,13
125,Álex Berenguer,es ESP,"FW,MF",Athletic Club,La Liga,29.0,1995,36,28,2339,26.0,6,7,13
126,Valentín Castellanos,ar ARG,FW,Lazio,Serie A,25.0,1998,29,28,2384,26.5,10,3,13
127,Hugo Duro,es ESP,FW,Valencia,La Liga,24.0,1999,31,25,2166,24.1,11,2,13
128,Enzo Fernández,ar ARG,MF,Chelsea,Premier League,23.0,2001,36,32,2947,32.7,6,7,13
129,Amine Gouiri,dz ALG,"FW,MF",Marseille,Ligue 1,24.0,2000,14,12,1048,11.6,10,3,13
130,Lee Jae-sung,kr KOR,MF,Mainz 05,Bundesliga,31.0,1992,33,31,2650,29.4,7,6,13
131,Kiké,es ESP,FW,Alavés,La Liga,34.0,1989,35,29,2542,28.2,13,0,13
132,Diego López,es ESP,"MF,FW",Valencia,La Liga,22.0,2002,38,35,2737,30.4,8,5,13
133,Lorenzo Lucca,it ITA,FW,Udinese,Serie A,23.0,2000,33,27,2353,26.1,12,1,13
134,Dodi Lukebakio,be BEL,FW,Sevilla,La Liga,26.0,1997,38,36,3092,34.4,11,2,13
135,Shuto Machino,jp JPN,"FW,MF",Holstein Kiel,Bundesliga,24.0,1999,32,23,1953,21.7,11,2,13
136,Keito Nakamura,jp JPN,"FW,MF",Reims,Ligue 1,24.0,2000,32,31,2649,29.4,11,2,13
137,Dani Olmo,es ESP,"MF,FW",Barcelona,La Liga,26.0,1998,25,13,1212,13.5,10,3,13
138,Adrien Rabiot,fr FRA,MF,Marseille,Ligue 1,29.0,1995,29,27,2485,27.6,9,4,13
139,Gonçalo Ramos,pt POR,FW,Paris S-G,Ligue 1,23.0,2001,22,12,1066,11.8,10,3,13
140,Andrey Santos,br BRA,MF,Strasbourg,Ligue 1,20.0,2004,32,32,2855,31.7,10,3,13
141,Kevin Schade,de GER,FW,Brentford,Premier League,22.0,2001,38,26,2293,25.5,11,2,13
142,Fábio Silva,pt POR,FW,Las Palmas,La Liga,22.0,2002,24,22,1866,20.7,10,3,13
143,Lassine Sinayoko,ml MLI,"FW,MF",Auxerre,Ligue 1,24.0,1999,34,25,2299,25.5,5,8,13
144,Cristhian Stuani,uy URU,FW,Girona,La Liga,37.0,1986,32,6,1078,12.0,11,2,13
145,Jamie Vardy,eng ENG,FW,Leicester City,Premier League,37.0,1987,35,35,2823,31.4,9,4,13
146,Che Adams,sct SCO,FW,Torino,Serie A,28.0,1996,36,30,2652,29.5,9,3,12
147,Nadiem Amiri,de GER,MF,Mainz 05,Bundesliga,27.0,1996,30,30,2473,27.5,7,5,12
148,Santiago Castro,ar ARG,FW,Bologna,Serie A,19.0,2004,36,27,2294,25.5,8,4,12
149,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,Premier League,24.0,2000,38,34,2911,32.3,2,10,12
150,Boulaye Dia,sn SEN,"MF,FW",Lazio,Serie A,27.0,1996,35,27,2177,24.2,9,3,12
151,Désiré Doué,fr FRA,"FW,MF",Paris S-G,Ligue 1,19.0,2005,31,18,1730,19.2,6,6,12
152,Serge Gnabry,de GER,"FW,MF",Bayern Munich,Bundesliga,29.0,1995,27,13,1242,13.8,7,5,12
153,Kai Havertz,de GER,"FW,MF",Arsenal,Premier League,25.0,1999,23,21,1875,20.8,9,3,12
154,Adam Hložek,cz CZE,"FW,MF",Hoffenheim,Bundesliga,22.0,2002,27,22,1871,20.8,8,4,12
155,Hamed Junior Traorè,ci CIV,MF,Auxerre,Ligue 1,24.0,2000,26,26,2093,23.3,10,2,12
156,Lee Kang-in,kr KOR,"FW,MF",Paris S-G,Ligue 1,23.0,2001,30,19,1663,18.5,6,6,12
157,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,Premier League,23.0,2001,33,25,2290,25.4,8,4,12
158,Dan Ndoye,ch SUI,FW,Bologna,Serie A,23.0,2000,30,26,2143,23.8,8,4,12
159,Mikel Oyarzabal,es ESP,FW,Real Sociedad,La Liga,27.0,1997,35,28,2250,25.0,9,3,12
160,Sandro Ramírez,es ESP,"FW,MF",Las Palmas,La Liga,29.0,1995,31,25,2034,22.6,9,3,12
161,Dominic Solanke,eng ENG,FW,Tottenham,Premier League,26.0,1997,27,25,2201,24.5,9,3,12
162,Dominik Szoboszlai,hu HUN,MF,Liverpool,Premier League,23.0,2000,36,29,2491,27.7,6,6,12
163,Deniz Undav,de GER,"FW,MF",Stuttgart,Bundesliga,28.0,1996,27,20,1726,19.2,9,3,12
164,Jonas Wind,dk DEN,"FW,MF",Wolfsburg,Bundesliga,25.0,1999,31,21,1966,21.8,9,3,12
165,Matthis Abline,fr FRA,FW,Nantes,Ligue 1,21.0,2003,34,33,2768,30.8,9,2,11
166,Rayan Aït-Nouri,dz ALG,DF,Wolves,Premier League,23.0,2001,37,37,3109,34.5,4,7,11
167,Hakan Çalhanoğlu,tr TUR,MF,Inter,Serie A,30.0,1994,28,25,1879,20.9,5,6,11
168,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,Bundesliga,26.0,1998,28,25,2109,23.4,9,2,11
169,Jonathan Clauss,fr FRA,"DF,MF",Nice,Ligue 1,31.0,1992,28,27,2303,25.6,3,8,11
170,Patrick Cutrone,it ITA,FW,Como,Serie A,26.0,1998,33,23,2047,22.7,7,4,11
171,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,Premier League,33.0,1991,28,19,1702,18.9,4,7,11
172,Federico Dimarco,it ITA,"DF,FW",Inter,Serie A,26.0,1997,32,28,2140,23.8,4,7,11
173,Evanilson,br BRA,FW,Bournemouth,Premier League,24.0,1999,31,28,2319,25.8,10,1,11
174,Jamie Gittens,eng ENG,"FW,MF",Dortmund,Bundesliga,19.0,2004,32,21,1776,19.7,8,3,11
175,Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,Premier League,23.0,2001,34,28,2434,27.0,6,5,11
176,Bruno Guimarães,br BRA,MF,Newcastle Utd,Premier League,26.0,1997,38,38,3271,36.3,5,6,11
177,Robin Hack,de GER,"FW,MF",Gladbach,Bundesliga,25.0,1998,33,27,2172,24.1,4,7,11
178,Franck Honorat,fr FRA,FW,Gladbach,Bundesliga,27.0,1996,19,18,1439,16.0,4,7,11
179,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,Premier League,24.0,2000,32,27,2389,26.5,7,4,11
180,Giovani Lo Celso,ar ARG,"MF,FW",Betis,La Liga,28.0,1996,25,15,1457,16.2,8,3,11
181,Fermin López,es ESP,"MF,FW",Barcelona,La Liga,21.0,2003,28,12,1252,13.9,6,5,11
182,Enzo Millot,fr FRA,"MF,FW",Stuttgart,Bundesliga,22.0,2002,29,22,1843,20.5,6,5,11
183,João Neves,pt POR,"MF,DF",Paris S-G,Ligue 1,19.0,2004,29,22,1844,20.5,3,8,11
184,Dango Ouattara,bf BFA,FW,Bournemouth,Premier League,22.0,2002,32,21,2005,22.3,7,4,11
185,Pedro,es ESP,"FW,MF",Lazio,Serie A,37.0,1987,30,6,1102,12.2,10,1,11
186,Roberto Piccoli,it ITA,FW,Cagliari,Serie A,23.0,2001,37,37,3127,34.7,10,1,11
187,Marvin Pieringer,de GER,"FW,MF",Heidenheim,Bundesliga,24.0,1999,31,26,2206,24.5,7,4,11
188,Andrea Pinamonti,it ITA,FW,Genoa,Serie A,25.0,1999,36,33,2850,31.7,10,1,11
189,Yeremi Pino,es ESP,"MF,FW",Villarreal,La Liga,21.0,2002,34,25,1934,21.5,4,7,11
190,Declan Rice,eng ENG,MF,Arsenal,Premier League,25.0,1999,35,33,2825,31.4,4,7,11
191,Dani Rodríguez,es ESP,"MF,FW",Mallorca,La Liga,36.0,1988,37,26,2162,24.0,4,7,11
192,Rodrygo,br BRA,"FW,MF",Real Madrid,La Liga,23.0,2001,30,22,1928,21.4,6,5,11
193,Florian Thauvin,fr FRA,"FW,MF",Udinese,Serie A,31.0,1993,25,24,1956,21.7,8,3,11
194,Corentin Tolisso,fr FRA,MF,Lyon,Ligue 1,29.0,1994,32,27,2329,25.9,7,4,11
195,Abdoulaye Touré,gn GUI,MF,Le Havre,Ligue 1,30.0,1994,28,26,2324,25.8,10,1,11
196,Kenan Yıldız,tr TUR,"FW,MF",Juventus,Serie A,19.0,2005,35,28,2402,26.7,7,4,11
197,Martin Ødegaard,no NOR,MF,Arsenal,Premier League,25.0,1998,30,26,2325,25.8,3,8,11
